ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
MS;Selvíria;;Aerofotogrametria, Perfilamento laser;142/2021;ENGEMAP;308/2021
RS;Caxias Do Sul, Gramado;GSD 12 cm;Perfilamento laser;177/2021;ESTEIO;904/2021
BA;Brotas De Macaúbas;;Aerofotogrametria, Perfilamento laser;008/2021;FOTOTERRA;FPR01/2021
RS;Antônio Prado, Bento Gonçalves, Campestre Da Serra, Caxias Do Sul, Cotiporã, Dois Lajeados, Fagundes Varela, Farroupilha, Flores Da Cunha, Guaporé, Ipê, Monte Alegre Dos Campos, Nova Bassano, Nova Pádua, Nova Roma Do Sul, São Francisco De Paula, São Marcos, Serafina Corrêa, Vacaria, Veranópolis, Vila Flores, Vista Alegre Do Prata;;Aerofotogrametria, Perfilamento laser;161/2021;FOTOTERRA;FPR06/2021
SP;Descalvado, Pirassununga, Porto Ferreira, Santa Cruz Das Palmeiras, Santa Rita Do Passa Quatro, Tambaú;;Perfilamento laser;243/2021;FOTOTERRA;FPR09/2021
PR;Astorga;;Aerofotogrametria  ;268/2021;G.A. ASSESSORIA;10-ASTORGA/2021
PR;Barbosa Ferraz, Campo Mourão;;Aerofotogrametria  ;271/2021;G.A. ASSESSORIA;11-BARBOSA FERRAZ/2021
GO;Cocalzinho De Goiás, Corumbá De Goiás, Pirenópolis;;Aerofotogrametria  ;239/2021;GARDEN CONSULTORIA;002/2021
GO;Água Limpa, Corumbaíba;;Aerofotogrametria  ;240/2021;GARDEN CONSULTORIA;003/2021
RS;Parobé, Taquara;;Aerofotogrametria  ;203/2021;GAUSSGEO;025/2021
RS;Arroio Do Meio;;Aerofotogrametria  ;128/2021;GAUSSGEO;076/2021
RS;Portão;;Aerofotogrametria  ;214/2021;GAUSSGEO;075/2021
RS;São Sepé;;Aerofotogrametria  ;270/2021;GAUSSGEO;066/2021
RS;Barra do Ribeiro, Mariana Pimentel ;;Aerofotogrametria  ;291/2021;GAUSSGEO;129/2021
RJ;Maricá;;Perfilamento laser;015/2021;GEODADOS;000/2021
MG;Caeté;GSD 5 cm;Aerofotogrametria, Perfilamento laser;134/2021;GEODADOS;003/2021
PR;Palmas;GSD 5 cm;Aerofotogrametria, Perfilamento laser;187/2021;GEODADOS;004/2021
PR;Pato Bragado;GSD 3 cm;Aerofotogrametria  ;193/2021;GEODADOS;006/2021
SP;Campinas, Elias Fausto, Indaiatuba, Itupeva, Salto;GSD 5 cm;Aerofotogrametria, Perfilamento laser;223/2021;GEODADOS;007/2021
SP;Jales;GSD 5 cm;Aerofotogrametria, Perfilamento laser;269/2021;GEODADOS;008/2021
SP;Ribeirão Bonito;GSD 5 cm;Aerofotogrametria, Perfilamento laser;272/2021;GEODADOS;009/2021
GO;Abadia de Goiás, Aparecida de Goiânia, Goiânia, Hidrolândia, Senador Canedo;GSD 10 cm;Aerofotogrametria  ;044/2021;GEOJÁ;004/2021
SC;"Águas de Chapecó, Caxambu do
Sul, Cunha Porã, Cunhataí, Nova Erechim, Nova Itaberaba, Palmitos, Planalto
Alegre, São Carlos, Saudades";GSD 10 cm;Aerofotogrametria  ;241/2021;GEOJÁ;013/2021
RS;Alpestre, Rio dos Índios;GSD 10 cm;Aerofotogrametria  ;241/2021;GEOJÁ;013/2021
RS;Bom Retiro, Encantado, Roca Sales, Taquari;;Aerofotogrametria  ;141/2021;GEOPROCSUL;GPS 379/2021
RS;Vacaria;;Aerofotogrametria  ;164/2021;GEOPROCSUL;GPS 403/2021
MG;Governador Valadares;;Aerofotogrametria  ;310/2021;GEOTOP;001/2021
RS;Arroio do Sal, Terra de Areia, Torres;;Aerofotogrametria  ;057/2021;GLOBAL ENGENHARIA;001/2021AS
MG;Conceição do Pará, Pitangui;1:1.000;Aerofotogrametria  ;034/2021;HELMERT;004/2021
TO;Alvorada, Arrais, Combinado, Conceição do Tocantins, Figueirópolis, Lavandeira, Paranã, Peixe, Sucupira, Taguatinga;;Aerofotogrametria  ;104/2021;LIDAR;008/2021
BA;São Desidério;;Aerofotogrametria  ;104/2021;LIDAR;008/2021
GO;Campos Belos;;Aerofotogrametria  ;104/2021;LIDAR;008/2021
PR;Ariranha do Ivaí, Cruzmaltina, Grandes Rios, Ivaiporã, Jardim Alegre, Lidianópolis, Rio Branco do Ivaí;;Aerofotogrametria  ;183/2021;LIDAR;009/2021
PR;Adrianópolis, Cerro Azul, Doutor Ulysses;;Aerofotogrametria  ;210/2021;LIDAR;010/2021
SP;Iporanga, Itaóca, Itapirapuã Paulista, Ribeira;;Aerofotogrametria  ;210/2021;LIDAR;010/2021
RJ;Trajano de Moraes;GSD 10 cm;Aerofotogrametria  ;xxxx;MAPASGEO;001/2021
SC;Blumenau, Brusque, Gaspar, Ilhota, Itajaí, Luiz Alves;GSD 10 cm;Aerofotogrametria  ;282/2020;METRICA;001/2021
SC;Bombinhas, Porto Belo, Tijucas;GSD 10 cm;Aerofotogrametria, Perfilamento laser;065/2021;METRICA;002/2021
SC;Ibirama, Lontras, Rio do Sul;GSD 10 cm;Aerofotogrametria, Perfilamento laser;198/2021;METRICA;004/2021
RS;Severiano de Almeida;GSD 5 cm;Aerofotogrametria  ;367/2021;METROCIL;001/2021
RS;Eugênio de Castro;GSD 5 cm;Aerofotogrametria  ;371/2021;METROCIL;002/2021
RS;Maquiné, Osório;GSD 5 cm;Aerofotogrametria  ;389/2021;METROCIL;003/2021
MG;Juiz de Fora;;Aerofotogrametria  ;083/2021;NUVVE;001/2021
PB;Alhandra, Conde, Pedras de Fogo, Santa Rita;;Aerofotogrametria  ;146/2021;NUVVE;002/2021
PE;Itambé;;Aerofotogrametria  ;146/2021;NUVVE;002/2021
SP;São Manuel;;Aerofotogrametria  ;176/2021;NUVVE;003/2021
SP;Iacanga;;Aerofotogrametria  ;226/2021;NUVVE;005/2021
SP;Ipaussu;;Aerofotogrametria  ;244/2021;NUVVE;006/2021
SP;Atibaia, Bom Jesus dos Perdões, Piracaia;;Aerofotogrametria  ;249/2021;NUVVE;007/2021
SP;Iepê;;Aerofotogrametria  ;326/2021;NUVVE;008/2021
MG;Belo Horizonte, Belo Vale, Bonfim, Brumadinho, Ibirité, Igarapé, Itabirito, Itatiaiuçu, Mário Campos, Moeda, Nova Lima, Rio Manso, São Joaquim de Bicas, Sarzedo;;Aerofotogrametria, Perfilamento laser;047/2021;ROTORWEST;006/2021
SP;Cajamar, Santana de Parnaíba;;Aerofotogrametria  ;101/2021;S&C SP Geotecnologia;003/2021
sp;Queluz;;Aerofotogrametria  ;184/2021;S&C SP Geotecnologia;004/2021
RJ;Resende;;Aerofotogrametria  ;184/2021;S&C SP Geotecnologia;004/2021
SP;Areias;;Aerofotogrametria  ;309/2021;S&C SP Geotecnologia;006/2021
BA;Caetité, Guanambi, Igaporã;1:1.000;Aerofotogrametria, Perfilamento laser;021/2021;SAI;004/2021
SP;Araraquara, Brotas, Ibaté, Ribeirão Bonito, São Carlos;;Aerofotogrametria, Perfilamento laser;022/2021;SAI;005/2021
MG;Capim Branco, Confins, Esmeraldas, Lagoa Santa, Matozinhos, Pedro Leopoldo, Santa Luzia, São José da Lapa, Sete Lagoas, Vespasiano;;Aerofotogrametria, Perfilamento laser;048/2021;SAI;007/2021
PB;Santa Luzia, São José do Sabugi, São Mamede;;Aerofotogrametria, Perfilamento laser;080/2021;SAI;013/2021
PR;Anahy, Araucária, Balsa Nova, Cambé, Campo Largo, Campo Mourão, Cascavel, Corbélia, Curitiba, Engenheiro Beltrão, Faxinal, Fernandes Pinheiro, Floresta, Guamiranga, Imbituva, Ipiranga, Irati, Juranda, Londrina, Mamborê, Marechal Cândido Rondon, Marilândia do Sul, Maringá, Matinhos, Mauá da Serra, Mercedes, Morretes, Palmeira, Paranaguá, Peabiru, Piraquara, Ponta Grossa, Pontal do Paraná, Porto Amazonas, Prudentópolis, Quatro Pontes, Santa Tereza do Oeste, São José dos Pinhais, Tamarana, Teixeira Soares, Toledo, Ubiratã;;Aerofotogrametria, Perfilamento laser;110/2021;SAI;022/2021
AM;Beruri, Borba, Manicoré, Tapauá;;Aerofotogrametria, Perfilamento laser;114/2021;SAI;023/2021
BA;Campo Formoso, Mirangaba, Morro do Chapéu, Ourolândia, Sento Sé, Umburanas;;Aerofotogrametria, Perfilamento laser;118/2021;SAI;024/2021
CE;Aquiraz, Aracati, Icapuí;;Aerofotogrametria, Perfilamento laser;123/2021;SAI;026/2021
PA;Abaetetuba, Acará, Barcarena, Breu Branco, Goianésia do Pará, Ipixuna do Pará, Moju, Tailândia;;Aerofotogrametria, Perfilamento laser;;SAI;040/2021
RO;Ariquemes, Cacaulândia, Cacoal, Candeias do Jamari, Chupinguaia, Cujubim, Itapuã do Oeste, Jaru, Ji-Paraná, Ministro Andreazza, Ouro Preto do Oeste, Pimenta Bueno, Presidente Médici, Rio Crespo, Theobroma, Vilhena;;Aerofotogrametria, Perfilamento laser;227/2021;SAI;040/2021
MT;Comodoro, Conquista Doeste, Jauru, Nova Lacerda, Pontes e Lacerda, Vale de São Domingos;;Aerofotogrametria, Perfilamento laser;227/2021;SAI;040/2021
MA;Açailândia, Alegre do Pindaré, Arari, Vista do Maranhão, Jesus das Selvas, Buriticupu, Cajari, Garapé do Meio, Maranhãozinho, Matinha, Miranda do Norte, Monção, Nova Olindina do Maranhão, Pedro do Rosário, Presidente Médici, Santa Helena, Santa Inês, Santa Luzia do Paruá, Santa Luzia, Viana, Vitória do Mearim;;Aerofotogrametria, Perfilamento laser;227/2021;SAI;040/2021
ES;São Roque do Canaã;;Aerofotogrametria  ;xxxx;SC Geomática;001/2021
SP;Itatiba, Itupeva, Jundiaí, Louveira, Valinhos, Vinhedo;;Aerofotogrametria  ;094/2021;SSR;SSR-056-2021
SP;Cubatão, Santo André, Santos, São Bernardo do Campo, São Vicente;;Aerofotogrametria  ;181/2021;SSR;SSR-057-2021
BA;Itaparica. Jaguaripe, Vera Cruz;1:1.000;Aerofotogrametria, Perfilamento laser;017/2021;TOPOCART;001/2021
MG;Belo Horizonte, Brumadinho, Nova Lima, Raposos;1:1.000;Aerofotogrametria, Perfilamento laser;036/2021;TOPOCART;004/2021
PA;Moju;1:1.000;Perfilamento laser;038/2021;TOPOCART;003/2021
MT;Campo Verde, Cuiabá, Diamantino, Jaciara, Juscimeira, Nobres, Rondonópolis, Rosário Oeste, Santo Antônio do Leverger, São Pedro da Cipa;1:1.000;Aerofotogrametria, Perfilamento laser;056/2021;TOPOCART;005/2021
MG;Araxá, Ibiá, Perdizes;1:4.000;Aerofotogrametria, Perfilamento laser;058/2021;TOPOCART;006/2021
GO;Bonfinópolis, Brazabantes, Goianápolis, Goiânia, Goianira, Leopoldo de Bulhões, Luziânia, Santo Antônio de Goiás, Silvânia, Trindade;1:1.000;Aerofotogrametria, Perfilamento laser;070/2021;TOPOCART;008/2021
PA;Canaã dos Carajás;1:1.000;Aerofotogrametria, Perfilamento laser;077/2021;TOPOCART;009/2021
MG;Barão de Cocais, Santa Bárbara;1:5.000;Aerofotogrametria, Perfilamento laser;126/2021;TOPOCART;011/2021
MT;Poxoréu, Primavera do Leste;1:1.000;Aerofotogrametria, Perfilamento laser;156/2021;TOPOCART;014/2021
SP;Americana, Hortolândia. Ipeúna;1:1.000;Aerofotogrametria, Perfilamento laser;166/2021;TOPOCART;017/2021
RJ;Angra dos Reis, Barra Mansa, Rio Claro, Volta Redonda;1:1.000;Aerofotogrametria, Perfilamento laser;172/2021;TOPOCART;018/2021
PA;Curinópolis, Parauapebas;1:1.000;Aerofotogrametria, Perfilamento laser;178/2021;TOPOCART;019/2021
DF;Brasília;1:1.000;Aerofotogrametria, Perfilamento laser;191/2021;TOPOCART;021/2021
GO;Valparaíso de Goiás;1:1.000;Aerofotogrametria, Perfilamento laser;191/2021;TOPOCART;021/2021
GO;Luziânia;1:1.000;Perfilamento laser;199/2021;TOPOCART;022/2021
PA;Ipixuna do Pará, Paragominas;1:1.000;Aerofotogrametria, Perfilamento laser;232/2021;TOPOCART;023/2021
MG;Araxá, Perdizes, Sacramento, Santa Juliana, Tapira;1:1.000;Aerofotogrametria, Perfilamento laser;253/2021;TOPOCART;024/2021
SP;Itaberá, Itapeva, Nova Campina, Ribeirão Branco, Taquarivaí;1:1.000;Aerofotogrametria, Perfilamento laser;276/2021;TOPOCART;026/2021
GO;Cristalina;;Aerofotogrametria  ;259/2021;TSENGE Engenharia;0001/2021
RJ;Niterói;;Aerofotogrametria  ;298/2021;TSENGE Engenharia;0002/2021
PA;Paragominas;;Aerofotogrametria  ;351/2021;UPCAMERA;001/2021
